Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
FabExpress Golden Gate,Hyderabad,6.5,Good ,82,7.9,1,Deluxe Room,1 double bed,Free cancellation,1489.0,179.0,prepayment
Collection O Orange Tree Hotels Near DLF,Hyderabad,9.3,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,2392.0,303.0,No prepayment needed
Collection O 81504 Hotel Pride,Hyderabad,3.5,No Review,0,0.0,0,Classic Triple Room,1 large double bed,Free cancellation,1476.0,193.0,No prepayment needed
ibis Hyderabad Hitec City - An Accor Brand,Hyderabad,7.2,Good ,1763,7.2,3,Standard Queen Room,1 double bed,Free cancellation,4000.0,480.0,No prepayment needed
Avana- A Boutique Hotel,Hyderabad,11.6,Good ,164,7.3,3,Economy Double Room,1 extra-large double bed,Not Free,4050.0,486.0,prepayment
Slackpackr Hyderabad,Hyderabad,4.3,Very good ,591,8.5,2,Bed in 4-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,491.0,59.0,No prepayment needed
"Holiday Inn Express Hyderabad HITEC City, an IHG Hotel",Hyderabad,7.7,Review score ,1390,6.6,3,Superior Double or Twin Room,1 double bed,Not Free,5004.0,600.0,prepayment
"Holiday Inn Express Hyderabad Banjara Hills, an IHG Hotel",Hyderabad,1.7,Review score ,1850,6.3,2,Standard Queen Room - Accessible,1 large double bed,Not Free,4770.0,572.0,prepayment
"Mercure Hyderabad KCP Banjara Hills, An Accor Hotel",Hyderabad,2.0,Good ,804,7.8,3,"Superior Superior Room with two single  beds,City View ",2 single beds,Free cancellation,6000.0,720.0,No prepayment needed
Hotel Anupama Enclave- Lakdikapul,Hyderabad,3.0,No Review,0,0.0,0,Deluxe Double Room,1 double bed,Free cancellation,1215.0,146.0,prepayment
The Golkonda Hotel,Hyderabad,2.1,Good ,547,7.4,1,Premium Twin Room ,2 single beds,Free cancellation,5500.0,660.0,prepayment
Aditya Park-A Sarovar Portico Hotel,Hyderabad,2.4,Review score ,360,6.7,1,"Superior Room (1+1 on IMFL, 2Pcs Laundry Free)", 2 Single Beds,Free cancellation,4680.0,562.0,No prepayment needed
